fecha,temperatura_media_C,humedad_relativa_%,velocidad_viento_m_s,precipitacion_mm_dia,velocidad_viento_km_h
2011-06-15,13.96,85.29,0.4,0.21,1.4400000000000002
2011-06-16,14.44,85.68,0.38,0.45,1.368
2011-06-17,9.34,74.97,0.49,0.0,1.764
2011-06-18,10.81,83.41,0.56,0.01,2.0160000000000005
2011-06-19,11.69,54.09,0.56,0.0,2.0160000000000005
2011-06-20,9.0,84.3,0.5,0.97,1.8
2011-06-21,8.21,89.83,0.45,13.17,1.62
2011-06-22,7.76,83.92,0.49,1.93,1.764
2011-06-23,10.04,58.54,0.58,0.0,2.088
2011-06-24,8.96,56.44,0.49,0.0,1.764
2011-06-25,3.87,73.01,0.69,0.0,2.484
2011-06-26,3.2,61.96,0.61,0.0,2.196
2011-06-27,7.61,38.38,0.71,0.0,2.556
2011-06-28,7.82,34.79,0.64,0.0,2.3040000000000003
2011-06-29,11.88,38.03,0.73,0.0,2.628
2011-06-30,5.52,44.55,1.0,0.0,3.6
2011-07-01,3.11,40.99,0.58,0.0,2.088
2011-07-02,1.67,54.87,0.68,0.0,2.4480000000000004
2011-07-03,2.92,53.69,0.49,0.0,1.764
2011-07-04,4.13,55.33,0.68,0.0,2.4480000000000004
2011-07-05,6.23,52.13,0.64,0.0,2.3040000000000003
2011-07-06,8.17,51.45,0.64,0.0,2.3040000000000003
2011-07-07,10.5,46.67,0.63,0.0,2.2680000000000002
2011-07-08,11.07,53.26,0.58,0.0,2.088
2011-07-09,13.01,57.38,0.59,0.0,2.124
2011-07-10,12.71,62.74,0.48,0.0,1.728
2011-07-11,14.85,75.44,0.93,0.0,3.3480000000000003
2011-07-12,14.35,75.12,0.65,0.0,2.3400000000000003
2011-07-13,12.51,87.82,0.52,0.01,1.872
2011-07-14,16.71,72.93,0.71,0.0,2.556
2011-07-15,14.71,60.2,0.75,0.11,2.7
2011-07-16,9.0,48.92,0.72,0.3,2.592
2011-07-17,6.93,53.89,0.77,0.0,2.7720000000000002
2011-07-18,7.2,59.06,0.59,0.0,2.124
